,title,lprice,mall_name,link,now_date
0,오이 오이지용 오이지 취청오이 가시오이 백다다기 못난이 소박이용 2kg 10kg 50개,9500.0,가우농산,https://search.shopping.naver.com/gate.nhn?id=82742478358,05-13
1,백오이 백다다기오이 오이지용 오이 최상품 2kg 3kg 5kg 10kg,8900.0,영호네 농산물 장터,https://search.shopping.naver.com/gate.nhn?id=87641125068,05-13
2,오이 백다다기 취청오이 가시오이,7900.0,특맛,https://search.shopping.naver.com/gate.nhn?id=85928848372,05-13
3,다다기 오이 3kg 10kg 소박이용 백오이 오이지용 다대기 못난이,11500.0,부부오이,https://search.shopping.naver.com/gate.nhn?id=82440205215,05-13
4,오이 오이지오이 50개 다다기 오이지용 백오이 조선 피클용,23900.0,싱싱야채,https://search.shopping.naver.com/gate.nhn?id=83159437002,05-13
5,백 다다기 오이 오이지 10kg,19000.0,-클릭마켓-,https://search.shopping.naver.com/gate.nhn?id=82557749151,05-13
6,오이 가시오이 청오이 백오이 다다기오이 오이지 못난이 특품 3kg 5kg 10kg,5500.0,해돋이농산,https://search.shopping.naver.com/gate.nhn?id=83947644469,05-13
7,백다다기 오이지용 지오이 못난이오이 백오이 상품 1박스,19000.0,해돋이농산,https://search.shopping.naver.com/gate.nhn?id=84928599036,05-13
8,[직접생산 당일수확 산지직송]양주 바른농원 수분가득 스낵 미니오이 1.3KG / 2.5KG / 4KG,15900.0,양주 바른농원,https://search.shopping.naver.com/gate.nhn?id=83299937177,05-13
9,미니오이 스낵오이 미니스탑 글로리아 2kg 백다다기오이,13900.0,경기여주 조윤석,https://search.shopping.naver.com/gate.nhn?id=82471655686,05-13
10,아작아작 꼬들꼬들 쫄깃쫄깃 백다다기 비포 오이지 오이 50개 내외,25000.0,가락시장계절야채,https://search.shopping.naver.com/gate.nhn?id=83121689298,05-13
11,특품 백오이 국내산 10개 20개 30개 50개 한박스 오이 야채,9950.0,이브의픽,https://search.shopping.naver.com/gate.nhn?id=86872866872,05-13
12,오이 오이지오이 상주 흑침 백다다기오이 다다기 백오이 50개,35900.0,팔도명인,https://search.shopping.naver.com/gate.nhn?id=84111553389,05-13
13,국내산 못난이 가시오이 청오이 업소용 10kg내외 1박스,10000.0,해돋이농산,https://search.shopping.naver.com/gate.nhn?id=85923515805,05-13
14,아삭아삭 달달하고 맛있는 특 상주 오이15개 이상,9900.0,프레시베프,https://search.shopping.naver.com/gate.nhn?id=85368274761,05-13
15,오이 백다다기오이 백오이 취청오이 가시오이 못난이 2kg 5kg 10kg,7400.0,꿀한당,https://search.shopping.naver.com/gate.nhn?id=86280635696,05-13
16,그린몬스터즈 피콜리노 미니오이 1.5kg(20개 내외),13900.0,그린몬스터즈,https://search.shopping.naver.com/gate.nhn?id=83245802021,05-13
17,국내산 가시오이 10kg 못난이 청오이,9500.0,-클릭마켓-,https://search.shopping.naver.com/gate.nhn?id=84648385740,05-13
18,못난이 백다다기오이 오이지용 오이소박이용 오픈이벤트 무료배송 20개 50개,15000.0,오이아저씨,https://search.shopping.naver.com/gate.nhn?id=87793704025,05-13
19,오이 가시오이 10kg 한박스 청오이 못난이,10900.0,싱싱야채,https://search.shopping.naver.com/gate.nhn?id=84191410582,05-13
20,오이 다다기 백다다기 오이지 가시 조선 못난이 4kg 10kg,13900.0,농터,https://search.shopping.naver.com/gate.nhn?id=81389242699,05-13
21,청년농부 남종우 백다다기오이 오이 오이지오이 다다기 백오이 10개 15개 30개 50개,11900.0,정직한 이웃 농부,https://search.shopping.naver.com/gate.nhn?id=82487536097,05-13
22,쓴맛없는 오이 소박이 오이지용 백다다기 오이 5개 10개 20개 30개 50개 100개,15000.0,양주농부이범석,https://search.shopping.naver.com/gate.nhn?id=82962072108,05-13
23,백다다기 오이 1kg 2kg 5kg 10kg 상품/ 특품 백오이,5900.0,올리바스토리,https://search.shopping.naver.com/gate.nhn?id=86757143203,05-13
24,미니오이 스낵오이 2kg 작은 피클용 오이지용 농장 당일배송,22500.0,충북음성 김진호,https://search.shopping.naver.com/gate.nhn?id=83261998007,05-13
25,아사맘 미니오이 스낵오이 미니스탑 글로리아 2kg,14400.0,맘다르크,https://search.shopping.naver.com/gate.nhn?id=86366507656,05-13
26,"(농가직송)GAP 상주 백다다기 흑침 오이 특품 상품 소박이 피클 오이지용2kg,5kg,10kg",35900.0,상주 모동 웅이농원,https://search.shopping.naver.com/gate.nhn?id=82766122122,05-13
27,특품 백다다기오이 오이지용 오이소박이용 오픈이벤트 무료배송 20개 50개,17000.0,오이아저씨,https://search.shopping.naver.com/gate.nhn?id=87797410056,05-13
28,오이지용 오이 50개내외 소박이 피클,24000.0,가락싱싱,https://search.shopping.naver.com/gate.nhn?id=83131978247,05-13
29,오이 가시오이 청오이 못난이 5kg 10kg,9900.0,농터,https://search.shopping.naver.com/gate.nhn?id=81389251193,05-13
30,미니오이 스낵오이 미니스탑 글로리아 2kg 농장에서 보내드려요 백다다기오이,13900.0,dbft,https://search.shopping.naver.com/gate.nhn?id=82452121157,05-13
31,쓴맛 없이 맛있는 오이 소박이 오이지용 양주농부 클로렐라 백오이 30개 50개 100개,28000.0,양주농부이범석,https://search.shopping.naver.com/gate.nhn?id=83073754572,05-13
32,국내산 다다기 오이 오이지 2kg 4kg 10kg,7800.0,야채애송이,https://search.shopping.naver.com/gate.nhn?id=84972629850,05-13
33,그린몬스터즈 피콜리노 미니오이 1.5kg(20개 내외),13900.0,충남보령 서원상,https://search.shopping.naver.com/gate.nhn?id=83288382928,05-13
34,백오이 백다다기 취청오이 못난이 충북 진천 농장직송 50개 30개 10개,11900.0,과일 충전,https://search.shopping.naver.com/gate.nhn?id=85849638486,05-13
35,율이네 50개 국내산 연천 오이 오이지 피클 백다다기,23500.0,율이네 채소점,https://search.shopping.naver.com/gate.nhn?id=84325051426,05-13
36,오이 백오이 백다다기오이 오이지 상 10kg,19400.0,농산다모임,https://search.shopping.naver.com/gate.nhn?id=84055650471,05-13
37,(농가직송)상주 백다다기 흑침오이 혼합상품 소박이 피클 오이지용,37900.0,상주 모동 웅이농원,https://search.shopping.naver.com/gate.nhn?id=82842436706,05-13
38,GREF 피콜리노 미니오이 스낵오이 피클오이 꼬마오이 1kg,11900.0,헬스온스토어,https://search.shopping.naver.com/gate.nhn?id=87495771655,05-13
39,송이네 오이 백다다기 특 1.2kg 2kg 당일수확 당일배송,7900.0,송이네오이,https://search.shopping.naver.com/gate.nhn?id=87722629104,05-13
40,"백오이 백다다기오이 피클 상,특 10KG BOX",18000.0,레전드푸드,https://search.shopping.naver.com/gate.nhn?id=87411836288,05-13
41,"[농장직송] 한입 쏙 아삭한 미니오이, 스낵오이 미니스탑 2kg (약 35개)",13900.0,으뜸농장 남원,https://search.shopping.naver.com/gate.nhn?id=82253555865,05-13
42,오이지오이 50개 백다다기 오이지용 백오이 오이지,24170.0,G마켓,https://search.shopping.naver.com/gate.nhn?id=47282743963,05-13
43,껍질째먹는 유기농오이 30개20개50개,34000.0,풀무리네,https://search.shopping.naver.com/gate.nhn?id=84147622629,05-13
44,[직접생산 당일수확 직송]양주 바른농원 백다다기 오이 10개입 / 20개입 / 50개입,11900.0,양주 바른농원,https://search.shopping.naver.com/gate.nhn?id=83122314845,05-13
45,상주 농특산품 달큰한 제철 흑침 백침 다다기오이,11900.0,돌쇠네농산물,https://search.shopping.naver.com/gate.nhn?id=46409941335,05-13
46,[신중국식품]싱싱중국오이. 껍질이 얇고 아삭한 중국오이 3개,2980.0,쿠팡,https://search.shopping.naver.com/gate.nhn?id=47146623740,05-13
47,"국내산 특상품 백오이 조선오이 장아찌용 달달오이 2kg,3kg,5kg,10kg",10900.0,황금농산물,https://search.shopping.naver.com/gate.nhn?id=87798365867,05-13
48,오이 백오이 못난이오이 백다다기 오이지 오이 2kg 10kg,9900.0,팔도 먹거리,https://search.shopping.naver.com/gate.nhn?id=84452847830,05-13
49,취청오이(상)10kg 1박스 자연대로팜웨이,18750.0,옥션,https://search.shopping.naver.com/gate.nhn?id=18817839839,05-13
50,청오이 취청오이(특) 2kg 5kg 10kg,9500.0,농산다모임,https://search.shopping.naver.com/gate.nhn?id=82439619852,05-13
51,백다다기 못난이 오이 피클용 오이지용 4kg 상주 조선오이,12900.0,정든농산,https://search.shopping.naver.com/gate.nhn?id=83655474840,05-13
52,오이 백다다기 가시오이 백오이 못난이 특품 2kg 3kg 5kg 10kg,8900.0,길숙이 농산,https://search.shopping.naver.com/gate.nhn?id=87318371320,05-13
53,[덕산농협] 오감드레 진천 백다다기 오이4kg내외(20개 내외),17400.0,충북농협온마켓,https://search.shopping.naver.com/gate.nhn?id=83144509561,05-13
54,천안 봉황52농장 (백다다기오이 20개)아우내오이,25200.0,봉황오이농장,https://search.shopping.naver.com/gate.nhn?id=80024903866,05-13
55,[GAP 인증] 국내산 최상급 백오이 백다다기 오이 10개입 20개입 50개입,12900.0,돌쇠네 농산물,https://search.shopping.naver.com/gate.nhn?id=84052384651,05-13
56,백오이 10입,5580.0,트레이더스,https://search.shopping.naver.com/gate.nhn?id=83597861889,05-13
57,팔도명인 상주 백다다기 흑침 오이 오지이용 소박이용 백오이 특등급  3kg(20개)  1박스,22880.0,쿠팡,https://search.shopping.naver.com/gate.nhn?id=46745508305,05-13
58,국내산 백다다기 백오이 5개,4490.0,기린농산,https://search.shopping.naver.com/gate.nhn?id=86829232128,05-13
59,오이 다다기 못난이 백다다기 오이지 가시오이 백오이 3kg 5kg 10kg,7900.0,신선한스푼,https://search.shopping.naver.com/gate.nhn?id=87725278075,05-13
60,친환경 마음밭 국내산 유기농 무농약 미니오이 스낵오이 미니스탑 주렁주렁 아삭오독 다이어트 1kg 2kg,18600.0,친환경 마음밭,https://search.shopping.naver.com/gate.nhn?id=87040676753,05-13
61,러스보이 1kg 미니오이 스낵오이 작은 피클용 오이지용,11900.0,한국농수산식품,https://search.shopping.naver.com/gate.nhn?id=84510730126,05-13
62,GAP 우수관리인증 백다다기 오이 수경재배 15개 2.4kg 내외,16900.0,만나프레시,https://search.shopping.naver.com/gate.nhn?id=87670084511,05-13
63,오이 다다기오이 백오이 백다다기 오이지용오이 2.5kg 4kg 8kg,10800.0,마시뜨라,https://search.shopping.naver.com/gate.nhn?id=86134910641,05-13
64,쓴맛 없는 못난이 백오이 가시오이 20개 30개 50개 소박이 오이지용 백다다기 오이,18000.0,양주농부이범석,https://search.shopping.naver.com/gate.nhn?id=83097743523,05-13
65,미니오이 2kg 꼬마오이,20000.0,군위의아침,https://search.shopping.naver.com/gate.nhn?id=84741449162,05-13
66,오이 가시오이 취청오이 백오이 백다다기,7900.0,죽영농산,https://search.shopping.naver.com/gate.nhn?id=87763438178,05-13
67,오이 가시오이 못난이 특품 5kg 10kg,11900.0,정든농산,https://search.shopping.naver.com/gate.nhn?id=83981298405,05-13
68,지오이 백오이 백다다기 오이 특품 3kg 5kg 10kg  3kg(15-20개내외)  1개,13490.0,쿠팡,https://search.shopping.naver.com/gate.nhn?id=31795948609,05-13
69,"리프레쉬 국내산 가시오이 못난이 특 2KG, 10KG 못난이야채 못난이농산물",12900.0,리프레쉬,https://search.shopping.naver.com/gate.nhn?id=84831592276,05-13
70,오이 가시오이 청오이 못난이오이 3kg 10kg 약40개입,9800.0,마시뜨라,https://search.shopping.naver.com/gate.nhn?id=86176925030,05-13
71,상주 진천 백오이 구례 취청오이 1kg-10kg 백다다기오이,6100.0,햇살 가득한 농장,https://search.shopping.naver.com/gate.nhn?id=85785139590,05-13
72,"다다기오이, 5입/봉",3480.0,농협하나로마트,https://search.shopping.naver.com/gate.nhn?id=82612937376,05-13
73,다다기오이 3입(봉),2990.0,Homeplus,https://search.shopping.naver.com/gate.nhn?id=82539602134,05-13
74,간편하게 먹는 아삭아삭 미니오이 2kg (30-35개 내외),16800.0,팔도감,https://search.shopping.naver.com/gate.nhn?id=46881116323,05-13
75,백다다기오이 25개 50개 오이지 소박이 김치,18900.0,풀래음,https://search.shopping.naver.com/gate.nhn?id=84126420762,05-13
76,스낵오이(봉),4480.0,이마트몰,https://search.shopping.naver.com/gate.nhn?id=83446537198,05-13
77,스낵오이 미니오이 피클용오이 1kg 2kg 4kg,13500.0,풀래음,https://search.shopping.naver.com/gate.nhn?id=84174548531,05-13
78,백오이(상) 백다다기 10kg 1박스 자연대로팜웨이,23240.0,옥션,https://search.shopping.naver.com/gate.nhn?id=25994320392,05-13
79,백오이 (2입/봉),1880.0,이마트몰,https://search.shopping.naver.com/gate.nhn?id=83443905418,05-13
80,[인삼먹고 자란] 스낵 미니오이 1.5kg 오이지 피클용 오이 농장 당일배송,15900.0,경기양주 강도진,https://search.shopping.naver.com/gate.nhn?id=85681894784,05-13
81,당일경매 싱싱한 오이지오이 50개,24500.0,농산마루,https://search.shopping.naver.com/gate.nhn?id=83168032287,05-13
82,그린몬스터즈 미니오이 스낵오이 1.5kg(20개 내외)[산지직송][당일수확],13900.0,그린몬스터즈,https://search.shopping.naver.com/gate.nhn?id=83253164645,05-13
83,노각 (늙은오이) 5Kg (상),11300.0,사라상회,https://search.shopping.naver.com/gate.nhn?id=82194740736,05-13
84,(농가직송)GAP 상주 백다다기 오이 소박이 피클 오이지용 당일수확발송,6900.0,상주 모동 웅이농원,https://search.shopping.naver.com/gate.nhn?id=82759081185,05-13
85,다다기오이 3입(봉),1990.0,홈플러스,https://search.shopping.naver.com/gate.nhn?id=44206005154,05-13
86,[산지직송 당일발송]예스팜 백다다기오이 소박이 피클용 오이지 오이 2kg,12050.0,예스팜스토어,https://search.shopping.naver.com/gate.nhn?id=86093738339,05-13
87,가시오이 청오이 취청오이 못난이 3kg 5kg 10kg,7900.0,팔도 먹거리,https://search.shopping.naver.com/gate.nhn?id=84475643953,05-13
88,(가락시장까망콩) 여름을 알리는 수분 가득 노란 늙은오이 1개 (노각),5500.0,가락시장 까망콩,https://search.shopping.naver.com/gate.nhn?id=83107772726,05-13
89,양주농부 클로렐라 못난이 도사리 오이 소박이 오이지용 오이 5kg 9kg 18kg,24000.0,양주농부이범석,https://search.shopping.naver.com/gate.nhn?id=86755385081,05-13
90,양주바른농원[인삼먹인]명품 미니오이 2.5kg,25900.0,마켓경기,https://search.shopping.naver.com/gate.nhn?id=84146620056,05-13
91,GAP 특품 오이 다다기오이 소박이,6900.0,대한민국농수산,https://search.shopping.naver.com/gate.nhn?id=87803057811,05-13
92,백 다다기 오이 10개 20개 50개 피클 소박이 김치 무침 오이지 용,5000.0,-클릭마켓-,https://search.shopping.naver.com/gate.nhn?id=86064388875,05-13
93,[품질보장] 백다다기 오이 4kg 16-24개입,15400.0,11번가,https://search.shopping.naver.com/gate.nhn?id=46357238604,05-13
94,아삭 오이 5입(봉),4490.0,홈플러스,https://search.shopping.naver.com/gate.nhn?id=22496304333,05-13
95,건강 간식 수분 섭취 오이 전문 농부님의 스낵 미니 아삭 오이 2kg,15400.0,아오 마켓,https://search.shopping.naver.com/gate.nhn?id=84400058343,05-13
96,오이 오이지 스낵 피클용 미니 미인오이 2kg 3kg 5kg,20000.0,양주농부이범석,https://search.shopping.naver.com/gate.nhn?id=84231978282,05-13
97,[프레베] 미니오이 2kg(벌크) / 스낵오이,15120.0,농업회사법인 프레베,https://search.shopping.naver.com/gate.nhn?id=84141804767,05-13
98,가시오이 3입(봉),3490.0,홈플러스,https://search.shopping.naver.com/gate.nhn?id=23397398478,05-13
99,싱싱한 오이지용 오이 50개 내외,21500.0,농산마루,https://search.shopping.naver.com/gate.nhn?id=82493103506,05-13
